Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time
2016-07-15,Deadlift,Back,40.0,8,,,
2016-07-15,Deadlift,Back,60.0,8,,,
2016-07-15,Deadlift,Back,80.0,8,,,
2016-07-15,Deadlift,Back,100.0,7,,,
2016-07-15,Deadlift,Back,80.0,8,,,
2016-07-15,Overhead Press,Shoulders,20.0,12,,,
2016-07-15,Overhead Press,Shoulders,30.0,8,,,
2016-07-15,Overhead Press,Shoulders,40.0,8,,,
2016-07-15,Overhead Press,Shoulders,42.5,8,,,
2016-07-15,Overhead Press,Shoulders,42.5,8,,,
2016-07-15,Cable Upright Row,Shoulders,25.0,12,,,
2016-07-15,Cable Upright Row,Shoulders,40.0,8,,,
2016-07-15,Cable Upright Row,Shoulders,40.0,8,,,
2016-07-15,Cable Upright Row,Shoulders,40.0,8,,,
2016-07-15,Dips Tricep Focused,Triceps,96.0,8,,,
2016-07-15,Dips Tricep Focused,Triceps,96.0,8,,,
2016-07-15,Dips Tricep Focused,Triceps,96.0,6,,,
2016-07-20,Barbell Squat,Legs,20.0,16,,,
2016-07-20,Barbell Squat,Legs,40.0,12,,,
2016-07-20,Barbell Squat,Legs,60.0,8,,,
2016-07-20,Barbell Squat,Legs,80.0,3,,,
2016-07-20,Barbell Squat,Legs,100.0,5,,,
2016-07-20,Barbell Squat,Legs,100.0,5,,,
2016-07-20,Barbell Squat,Legs,100.0,5,,,
2016-07-20,Deadlift,Back,40.0,8,,,
2016-07-20,Deadlift,Back,60.0,8,,,
2016-07-20,Deadlift,Back,80.0,3,,,
2016-07-20,Deadlift,Back,100.0,5,,,
2016-07-20,Deadlift,Back,100.0,5,,,
2016-07-20,Deadlift,Back,100.0,5,,,
2016-07-20,Overhead Press,Shoulders,20.0,16,,,
2016-07-20,Overhead Press,Shoulders,30.0,8,,,
2016-07-20,Overhead Press,Shoulders,45.0,5,,,
2016-07-20,Overhead Press,Shoulders,45.0,5,,,
2016-07-20,Overhead Press,Shoulders,45.0,5,,,
2016-07-20,Overhead Press,Shoulders,55.0,4,,,
2016-07-23,Dips Tricep Focused,Triceps,95.2,8,,,
2016-08-09,Barbell Squat,Legs,20.0,16,,,
2016-08-09,Barbell Squat,Legs,40.0,12,,,
2016-08-09,Barbell Squat,Legs,60.0,8,,,
2016-08-09,Barbell Squat,Legs,70.0,8,,,
2016-08-09,Barbell Squat,Legs,80.0,8,,,
2016-08-09,Overhead Press,Shoulders,20.0,12,,,
2016-08-09,Overhead Press,Shoulders,30.0,8,,,
2016-08-09,Overhead Press,Shoulders,35.0,8,,,
2016-08-09,Overhead Press,Shoulders,35.0,8,,,
2016-08-09,Overhead Press,Shoulders,35.0,8,,,
2016-08-09,Deadlift,Back,30.0,8,,,
2016-08-09,Deadlift,Back,50.0,8,,,
2016-08-09,Deadlift,Back,70.0,8,,,
2016-08-09,Deadlift,Back,85.0,8,,,
2016-08-11,Flat Barbell Bench Press,Chest,20.0,20,,,
2016-08-11,Flat Barbell Bench Press,Chest,40.0,12,,,
2016-08-11,Flat Barbell Bench Press,Chest,60.0,8,,,
